CaseNumber,InstitutionName,InstitutionURL,DetailsURL,DateOpened,Status,OpenFor,DateResolved
226,University of Kansas,www.ku.edu,http://projects.chronicle.com/titleix/case/226,"July 20, 2015",Open,"5months, 3weeks",NA
227,University of Kansas,www.ku.edu,http://projects.chronicle.com/titleix/case/227,"November 7, 2011",Resolved,"4months, 3weeks","March 30, 2012"
228,Duke University,www.duke.edu,http://projects.chronicle.com/titleix/case/228,"March 28, 2013",Resolved,4months,"July 26, 2013"
229,University of Wisconsin at Madison,www.wisc.edu,http://projects.chronicle.com/titleix/case/229,"August 12, 2015",Open,5months,NA
230,University of Wisconsin at Madison,www.wisc.edu,http://projects.chronicle.com/titleix/case/230,"November 18, 2015",Open,"1month, 3weeks",NA
231,Princeton University,www.princeton.edu,http://projects.chronicle.com/titleix/case/231,"August 24, 2011",Resolved,"5months, 1week","February 3, 2012"
232,Princeton University,www.princeton.edu,http://projects.chronicle.com/titleix/case/232,"August 24, 2011",Resolved,"5months, 1week","February 3, 2012"
233,Princeton University,www.princeton.edu,http://projects.chronicle.com/titleix/case/233,"September 30, 2015",Open,"3months, 2weeks",NA
234,St. Mary's College of Maryland,www.smcm.edu,http://projects.chronicle.com/titleix/case/234,"February 6, 2015",Open,"11months, 1week",NA
235,St. Mary's College of Maryland,www.smcm.edu,http://projects.chronicle.com/titleix/case/235,"February 6, 2015",Open,"11months, 1week",NA
236,St. Mary's College of Maryland,www.smcm.edu,http://projects.chronicle.com/titleix/case/236,"February 6, 2015",Open,"11months, 1week",NA
237,St. Mary's College of Maryland,www.smcm.edu,http://projects.chronicle.com/titleix/case/237,"March 10, 2015",Open,"10months, 1week",NA
238,University of Mississippi,www.olemiss.edu,http://projects.chronicle.com/titleix/case/238,"April 2, 2010",Resolved,"1year, 8months","December 22, 2011"
239,University of San Diego,www.sandiego.edu,http://projects.chronicle.com/titleix/case/239,"August 6, 2015",Open,"5months, 1week",NA
240,William Jewell College,www.jewell.edu,http://projects.chronicle.com/titleix/case/240,"September 9, 2015",Open,4months,NA
241,Wesley College (Del.),www.wesley.edu,http://projects.chronicle.com/titleix/case/241,"July 28, 2015",Open,"5months, 2weeks",NA
242,Western New England University,www.wne.edu,http://projects.chronicle.com/titleix/case/242,"December 3, 2015",Open,"1month, 1week",NA
243,Virginia Commonwealth University,www.vcu.edu,http://projects.chronicle.com/titleix/case/243,"July 14, 2015",Open,6months,NA
244,Virginia Commonwealth University,www.vcu.edu,http://projects.chronicle.com/titleix/case/244,"December 8, 2015",Open,1month,NA
245,Western Washington University,www.wwu.edu,http://projects.chronicle.com/titleix/case/245,"November 5, 2015",Open,"2months, 1week",NA
246,Washington State University,wsu.edu,http://projects.chronicle.com/titleix/case/246,"September 23, 2015",Open,"3months, 3weeks",NA
247,BioHealth College,N/A,http://projects.chronicle.com/titleix/case/247,"November 22, 2010",Resolved,"5months, 3weeks","May 13, 2011"
248,Judson University (Ill.),www.judsonu.edu,http://projects.chronicle.com/titleix/case/248,"October 20, 2015",Open,"2months, 3weeks",NA
249,Bard College,www.bard.edu,http://projects.chronicle.com/titleix/case/249,"December 30, 2015",Open,"1week, 6days",NA
250,Virginia Military Institute,www.vmi.edu,http://projects.chronicle.com/titleix/case/250,"August 5, 2008",Resolved,"5years, 9months","May 9, 2014"
